GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
TIMEEVERY SEAT_1F_RR06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_6 ROOT_2F_R06 ROOT_2F_R01 ROOT_2F_R02,ag00213,18:00:00,0,18:02:59,179,00:02:59,179
TIMEEVERY SEAT_1F_LR08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00264,18:00:00,0,18:02:59,179,00:02:59,179
TIMEEVERY SEAT_1F_CL15 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00548,18:00:00,0,18:02:59,179,00:02:59,179
TIMEEVERY SEAT_1F_CL13 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00473,18:00:00,0,18:03:00,180,00:03:00,180
TIMEEVERY SEAT_1F_RL17 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00651,18:00:00,0,18:03:00,180,00:03:00,180
TIMEEVERY SEAT_1F_LL03 18:00:00 18:00:00 1 1 4 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00069,18:00:00,0,18:03:01,181,00:03:01,181
TIMEEVERY SEAT_1F_CL08 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00276,18:00:00,0,18:03:01,181,00:03:01,181
TIMEEVERY SEAT_1F_RR08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_6 ROOT_2F_R06 ROOT_2F_R01 ROOT_2F_R02,ag00293,18:00:00,0,18:03:01,181,00:03:01,181
TIMEEVERY SEAT_1F_RR20 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00783,18:00:00,0,18:03:01,181,00:03:01,181
TIMEEVERY SEAT_1F_LR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00544,18:00:00,0,18:03:02,182,00:03:02,182
