STATUS,200
MESSAGEID,M181000I
MESSAGE,Successfully completed
DATE,2026-07-13T14:21:02.663+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,EN
PARAMETER,DB,FM09
PARAMETER,STARTDATE,197001
PARAMETER,ENDDATE,202605
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES,UNIT,FREQUENCY,CATEGORY,LAST_UPDATE,SURVEY_DATES,VALUES
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198506,44.17
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198507,44.58
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198508,44.95
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198509,45.42
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198510,48.86
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198511,51.1
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198512,51.08
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198601,51.44
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198602,55.06
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198603,56.33
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198604,57.44
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198605,59.84
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198606,59.72
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198607,62.62
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198608,63.87
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198609,63.46
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198610,62.63
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198611,60.21
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198612,60.04
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198701,61.52
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198702,61.51
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198703,62.04
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198704,65.12
