"時間軸（2020～2023） コード","時間軸（2020～2023） 補助コード","時間軸（2020～2023）","性別_基本 コード","性別_基本 補助コード","性別_基本","地域 コード","地域 補助コード","地域","/表章項目","全学歴 所定内給与額【千円】","中学 所定内給与額【千円】","高校 所定内給与額【千円】","専門学校 所定内給与額【千円】","高専 短大 所定内給与額【千円】","大学 所定内給与額【千円】","大学院 所定内給与額【千円】"
"2023000000","","2023年","03","","女","37000","","香川県","","211.0","-","187.2","204.8","187.5","227.4","226.4"
"2023000000","","2023年","03","","女","38000","","愛媛県","","197.9","150.0","163.6","175.8","195.1","216.4","230.2"
"2023000000","","2023年","03","","女","39000","","高知県","","202.6","-","174.1","206.8","213.2","204.6","255.6"
"2023000000","","2023年","03","","女","40000","","福岡県","","213.9","-","177.0","214.1","211.6","224.3","269.5"
"2023000000","","2023年","03","","女","41000","","佐賀県","","205.7","-","160.8","191.1","198.5","266.0","216.4"
"2023000000","","2023年","03","","女","42000","","長崎県","","196.9","-","157.1","202.0","185.5","209.8","229.2"
"2023000000","","2023年","03","","女","43000","","熊本県","","209.6","-","177.6","231.5","197.1","214.1","246.7"
"2023000000","","2023年","03","","女","44000","","大分県","","194.7","-","170.0","176.9","192.8","242.7","241.0"
"2023000000","","2023年","03","","女","45000","","宮崎県","","191.5","-","162.0","210.1","198.5","218.5","245.3"
"2023000000","","2023年","03","","女","46000","","鹿児島県","","208.0","-","188.6","186.2","194.7","219.9","258.9"
"2023000000","","2023年","03","","女","47000","","沖縄県","","212.4","-","178.8","206.2","205.5","220.9","216.6"
